title,pubDate,guid,link,description
အနာကြီးရောဂါ ပြန်ခေါင်းထောင်လာနိုင်မလား,"Fri, 31 May 2024 10:46:50 GMT",https://www.bbc.com/burmese/articles/crggkey402xo#3,https://www.bbc.com/burmese/articles/crggkey402xo,စစ်အာဏာသိမ်းသုံးနှစ်ကျော်ကာလအတွင်း အနာကြီးရောဂါသည်တွေ စစ်ပြေး ရှောင်ရတာ၊ ရောဂါကန်လာလို့ သောက်သုံးရတဲ့ဆေးဝါးတွေမလုံလောက်တဲ့အခါ ကိုယ်ခန္ဓာချို့ယွင်း သူဦးရေ တိုးလာတာနဲ့ အနာကြီးရောဂါကုသပေးနိုင်တဲ့ ဆေးရုံဆေးခန်းနည်းပါးလာတာဟာ အဓိက စိုးရိမ်ချက် (၃) ချက်ဖြစ်လာပါတယ်။
ဆေးလိပ် - ဘယ်နိုင်ငံတွေမှာဆေးလိပ်သောက်တာကိုတားမြစ်ထားလဲ။ဘယ်လောက်အလုပ်ဖြစ်လဲ,"Fri, 31 May 2024 11:14:24 GMT",https://www.bbc.com/burmese/articles/cljj36081zgo#3,https://www.bbc.com/burmese/articles/cljj36081zgo,မေလ ၃၁ ရက်က ကမ္ဘာ့ဆေးလိပ်မသောက်ရေးနေ့ဖြစ်ပြီး ကမ္ဘာတဝန်းကျန်းမာရေးအဖွဲ့အစည်း‌တွေကတော့ ဆေးလိပ်သောက်တာကို နိုင်ငံအလိုက်တားမြစ်ဖို့ဆက်ပြီးဆော်သြနေပါတယ်။ ဆေးလိပ်သောက်တာကိုတားမြစ်ထားတဲ့နိုင်ငံတွေကရော တကယ်အလုပ်ဖြစ်ခဲ့လား။
ယာယီသမ္မတဦးမြင့်ဆွေကျန်းမာရေး နဲ့ သမ္မတအကျပ်အတည်း,"Tue, 18 Jun 2024 12:41:56 GMT",https://www.bbc.com/burmese/articles/c9004qqkx0yo#0,https://www.bbc.com/burmese/articles/c9004qqkx0yo,ဦးမြင့်ဆွေ ကျန်းမာရေးကြောင့်ဖြစ်ဖြစ် တာဝန်ဆက်မယူနိုင်တော့ဘူးဆိုရင် သူ့နေရာမှာ အစားထိုးဖို့ စစ်ကောင်စီက စဥ်းစားနေပြီလား၊ လွှတ်တော်မရှိတဲ့ အခြေအနေမှာ စစ်ကောင်စီက သမ္မတ တင်မြှောက်ခွင့်ရှိသလားဆိုတဲ့ မေးခွန်းတွေ ပေါ်ထွက်လာပါတယ်။
ပြုံယမ်းမှာ ရုရှားသမ္မတပူတင် တည်းခိုမယ့်ဧည့်ဂေဟာ ဘယ်လောက်ခမ်းနားလဲ,"Tue, 18 Jun 2024 13:35:28 GMT",https://www.bbc.com/burmese/articles/c5114w2k7w4o#0,https://www.bbc.com/burmese/articles/c5114w2k7w4o,ရုရှားသမ္မတ ဗလာဒီမီယာ ပူတင်ဟာ နှစ်ပေါင်း ၂၀ ကျော်အတွင်း ပထမဆုံးအကြိမ်အနေနဲ့ မြောက်ကိုရီးယားနိုင်ငံကို သွားရောက်ဖို့ရှိနေချိန်မှာပဲ မြောက်ကိုရီးယားက သမ္မတပူတင်ကို ဘယ်လိုဧည့်ခံကြိုဆိုမလဲဆိုတာကိုလည်း အများက စိတ်ဝင်စားနေကြပါတယ်။ သမ္မတပူတင်ဟာ ကင်ဆူဆန်း ဧည့်ဂေဟာကနေ တည်းမယ်လို့ မျှော်လင့်ရပါတယ်။ တရုတ်သမ္မတ ရှီကျင့်ပင် ၂၀၁၉ ခုနှစ်မှာ လည်ပတ်ချိန်တုန်းကလည်း အဆင့်မြင့်‌ဂေဟာမှာ တည်းခိုခဲ့ပါတယ်။
နှစ်‌ပေါင်း ၂၀၀၀ ကျော်ကပျောက်ဆုံးနေတဲ့  ဗိဿနိုးအနောက်ဘက်မြို့ရိုးပြန်တွေ့ ,"Tue, 18 Jun 2024 06:29:37 GMT",https://www.bbc.com/burmese/articles/c066ekkrmp7o#0,https://www.bbc.com/burmese/articles/c066ekkrmp7o,ဗိဿနိုးမြို့ဟောင်းထဲမှာ နှစ်ပေါင်း တစ်ရာကျော်ပညာရှင်အဆက်ဆက်ရဲ့ ဗိဿနိုးတူးဖော်မှုတွေကနေ မြန်မာနိုင်ငံ ရှေးဟောင်းသုတေသနအတွက် အရေးပါတဲ့ တွေ့ရှိချက်များစွာကို ဖော်ထုတ်ခဲ့ပါတယ်။ ဒါပေမဲ့လည်း အနောက်ဘက်မြို့ရိုးကိုတော့ မတွေ့ခဲ့ကြပါဘူး။ ၂၀၂၄ ခုနှစ်မှာတော့ အနောက်ဘက်မြို့ရိုးကိုတွေ့ရှိခဲ့ပါပြီ။ ဘာကြောင့် နှစ်ပေါင်းထောင်ချီတိမ်မြုပ်နေခဲ့တာလဲ။
ဒူဘိုင်းရဲ့ The World စီမံကိန်းကြီး ဘာဖြစ်သွားပြီလဲ,"Thu, 13 Jun 2024 11:35:24 GMT",https://www.bbc.com/burmese/articles/c133re8yxypo#1,https://www.bbc.com/burmese/articles/c133re8yxypo,ဒူဘိုင်းဟာ ‘’The World’’ ဆိုတဲ့ ကမ္ဘာကြီးပေါ်ကတိုက်ကြီးတွေပုံစံကိုတုပတဲ့ ကျွန်းတုပေါင်း ၂၆၀ ပါဝင်မယ့်စီမံကိန်းကြီးကို လွန်ခဲ့တဲ့နှစ်ပေါင်း ၂၀ ကျော်ကတည်းက စတင်ခဲ့ပါတယ်။ အဲဒီကျွန်းအများစုဟာ အခုတော့ သဲသောင်ပြင်တွေချည်းအဖြစ်ဆက်ရှိနေပါတယ်။
သူရဦးတင်ဦး၊ NLD နာယကနဲ့ တပ်ချုပ်ဟောင်း,"Sat, 01 Jun 2024 08:42:26 GMT",https://www.bbc.com/burmese/articles/c72gnd72rv2o#3,https://www.bbc.com/burmese/articles/c72gnd72rv2o,ဗိုလ်ချုပ်ကြီးတင်ဦး သက်တော်ရာကျော်ရှည်ပါစေလို့ ကြွေးကြော်ခံရတာ ဘာကြောင့်လဲနဲ့ သူ့ရဲ့ ဘဝမျက်နှာစာများ
ဒေါ်အောင်ဆန်းစုကြည် ချစ်တဲ့ စစ်သားအိုကြီးတွေ,"Wed, 19 Jun 2024 11:21:25 GMT",https://www.bbc.com/burmese/articles/crggvxkq9vpo#0,https://www.bbc.com/burmese/articles/crggvxkq9vpo,မြန်မာ့တပ်မတော် ထူထောင်သူ ဗိုလ်ချုပ်အောင်ဆန်း သမီးရဲ့  နိုင်ငံရေးမှာ  သူ့ကိုမလိုလားသူ ရန်သူတော်စစ်ဗိုလ်ချုပ်တွေရှိသလို မိတ်ဆွေစစ်ဗိုလ်ချုပ်တွေ လည်း ရှိခဲ့တာ ဖြစ်ပါတယ်။
ယာယီသမ္မတဦးမြင့်ဆွေကျန်းမာရေး နဲ့ သမ္မတအကျပ်အတည်း,"Tue, 18 Jun 2024 16:02:38 GMT",https://www.bbc.com/burmese/articles/c9004qqkx0yo#0,https://www.bbc.com/burmese/articles/c9004qqkx0yo,ဦးမြင့်ဆွေ ကျန်းမာရေးကြောင့်ဖြစ်ဖြစ် တာဝန်ဆက်မယူနိုင်တော့ဘူးဆိုရင် သူ့နေရာမှာ အစားထိုးဖို့ စစ်ကောင်စီက စဥ်းစားနေပြီလား၊ လွှတ်တော်မရှိတဲ့ အခြေအနေမှာ စစ်ကောင်စီက သမ္မတ တင်မြှောက်ခွင့်ရှိသလားဆိုတဲ့ မေးခွန်းတွေ ပေါ်ထွက်လာပါတယ်။
ကိုယ်ဝန်ဖျက်ချမှုကို ထောင်ဒဏ်အနှစ် ၂၀ ချမယ့် ဥပဒေကြမ်းကြောင့် ဘရာဇီးနိုင်ငံတဝန်း ဆန္ဒပြ,"Thu, 20 Jun 2024 11:14:13 GMT",https://www.bbc.com/burmese/articles/c2eey0m513jo#0,https://www.bbc.com/burmese/articles/c2eey0m513jo,အခုဥပဒေကြမ်းကိုသာ အတည်ပြုဖြစ်မယ်ဆိုရင် ကိုယ်တိုင်ဖျက်ချတာဖြစ်စေ၊ ဖျက်ချလိုကြောင်း ခွင့်ပြုတာဖြစ်စေ သာမန်လူသတ်မှုတွေအတွက် ချမှတ်လေ့ရှိတဲ့ ပြစ်ဒဏ်နဲ့ ညီမျှတဲ့ ထောင်ဒဏ် ခြောက်နှစ်ကနေ နှစ် ၂၀ အထိ ချမှတ်ခံရမှာဖြစ်ပါတယ်။
